Temperature(F),Dew Point(F),Humidity(%),Wind Speed(mph),Pressure(in),Value
71.85583333,61.36,67.98,8.990833333,29.75,13.6928
71.995,61.64,68.08,9.005,29.78,10.8045
72.13416667,61.93,68.18,9.019166667,29.8,9.1463
72.27333333,62.21,68.28,9.033333333,29.83,7.9696
72.4125,62.49,68.38,9.0475,29.86,8.2371
72.55166667,62.77,68.47,9.061666667,29.89,8.2905
72.69083333,63.05,68.57,9.075833333,29.92,9.3068
72.83,63.33,68.67,9.09,29.95,9.5742
73.20416667,63.07,67.9,9.419166667,29.93,9.5742
73.57833333,62.8,67.12,9.748333333,29.92,10.5905
73.9525,62.54,66.35,10.0775,29.9,10.5905
74.32666667,62.28,65.58,10.40666667,29.88,10.3766
74.70083333,62.02,64.8,10.73583333,29.87,11.1254
75.075,61.76,64.03,11.065,29.85,10.3766
75.44916667,61.49,63.26,11.39416667,29.83,10.537
75.82333333,61.23,62.48,11.72333333,29.82,10.751
76.1975,60.97,61.71,12.0525,29.8,11.7672
76.57166667,60.7,60.94,12.38166667,29.78,10.8045
76.94583333,60.44,60.16,12.71083333,29.77,11.1789
77.32,60.18,59.39,13.04,29.75,12.4626
76.77916667,60.34,60.41,12.87333333,29.75,10.8045
76.23833333,60.51,61.43,12.70666667,29.75,11.4998
75.6975,60.67,62.45,12.54,29.75,13.3718
75.15666667,60.84,63.47,12.37333333,29.75,11.7137
74.61583333,61,64.49,12.20666667,29.75,8.8254
74.075,61.16,65.51,12.04,29.76,8.2371
73.53416667,61.33,66.53,11.87333333,29.76,7.7557
72.99333333,61.49,67.55,11.70666667,29.76,7.9161
72.4525,61.66,68.57,11.54,29.76,7.6487
71.91166667,61.82,69.59,11.37333333,29.76,7.4882
71.37083333,61.99,70.61,11.20666667,29.76,6.8464
70.83,62.15,71.63,11.04,29.76,6.3115
70.64916667,62.31,72.62,10.85583333,29.73,6.6859
70.46833333,62.47,73.62,10.67166667,29.7,6.6859
70.2875,62.64,74.61,10.4875,29.67,7.5952
70.10666667,62.8,75.61,10.30333333,29.64,7.5952
69.92583333,62.96,76.6,10.11916667,29.61,7.6487
69.745,63.12,77.6,9.935,29.58,6.7394
69.56416667,63.29,78.6,9.750833333,29.55,6.6324
69.38333333,63.45,79.59,9.566666667,29.52,6.3115
69.2025,63.61,80.58,9.3825,29.49,5.7766
69.02166667,63.77,81.58,9.198333333,29.46,5.6697
68.84083333,63.94,82.57,9.014166667,29.43,5.8301
68.66,64.1,83.57,8.83,29.4,5.3487
68.54,64.13,84.25,8.424166667,29.48,4.6534
68.42,64.17,84.93,8.018333333,29.55,4.2255
68.3,64.2,85.62,7.6125,29.63,4.5464
68.18,64.24,86.3,7.206666667,29.7,4.1185
68.06,64.27,86.98,6.800833333,29.78,4.1185
67.94,64.31,87.66,6.395,29.85,4.0116
67.82,64.34,88.34,5.989166667,29.93,3.9046
67.7,64.37,89.02,5.583333333,30.01,4.172
67.58,64.41,89.7,5.1775,30.08,3.7441
67.46,64.44,90.39,4.771666667,30.16,3.7441
67.34,64.48,91.07,4.365833333,30.23,3.7976
67.22,64.51,91.75,3.96,30.31,3.8511
67.21833333,64.51,92.17,4.201666667,30.24,4.0116
67.21666667,64.51,92.6,4.443333333,30.18,3.7441
67.215,64.51,93.02,4.685,30.11,3.7441
67.21333333,64.51,93.44,4.926666667,30.04,3.6371
67.21166667,64.51,93.87,5.168333333,29.98,3.6371
67.21,64.5,94.29,5.41,29.91,3.5837
67.20833333,64.5,94.71,5.651666667,29.84,3.6906
67.20666667,64.5,95.14,5.893333333,29.78,3.8511
67.205,64.5,95.56,6.135,29.71,3.9581
67.20333333,64.5,95.98,6.376666667,29.64,3.5837
67.20166667,64.5,96.41,6.618333333,29.58,3.7441
67.2,64.5,96.83,6.86,29.51,3.6371
67.44,64.59,96.13,6.458333333,29.56,3.7441
67.68,64.67,95.43,6.056666667,29.62,3.7976
67.92,64.76,94.73,5.655,29.67,3.6371
68.16,64.85,94.03,5.253333333,29.73,3.6371
68.4,64.93,93.33,4.851666667,29.78,3.4767
68.64,65.02,92.62,4.45,29.84,3.2092
68.88,65.11,91.92,4.048333333,29.89,3.3697
69.12,65.19,91.22,3.646666667,29.94,3.8511
69.36,65.28,90.52,3.245,30,3.9581
69.6,65.37,89.82,2.843333333,30.05,4.1185
69.84,65.45,89.12,2.441666667,30.11,4.1185
70.08,65.54,88.42,2.04,30.16,4.0116
70.50916667,65.4,86.96,2.455,30.1,5.1348
70.93833333,65.26,85.51,2.87,30.04,7.4347
71.3675,65.12,84.06,3.285,29.98,9.1463
71.79666667,64.98,82.6,3.7,29.92,9.8952
72.22583333,64.84,81.14,4.115,29.86,10.1626
72.655,64.7,79.69,4.53,29.8,10.3766
73.08416667,64.57,78.24,4.945,29.75,9.7882
73.51333333,64.43,76.78,5.36,29.69,10.43
73.9425,64.29,75.32,5.775,29.63,12.1416
74.37166667,64.15,73.87,6.19,29.57,14.1742
74.80083333,64.01,72.41,6.605,29.51,13.2114
75.23,63.87,70.96,7.02,29.45,14.709
75.28583333,64.07,70.58,7.189166667,29.48,16.5276
75.34166667,64.27,70.2,7.358333333,29.51,17.7578
75.3975,64.47,69.83,7.5275,29.54,18.5066
75.45333333,64.67,69.45,7.696666667,29.57,18.1857
75.50916667,64.87,69.07,7.865833333,29.6,12.2486
75.565,65.08,68.69,8.035,29.64,10.8579
75.62083333,65.28,68.32,8.204166667,29.67,9.7347
75.67666667,65.48,67.94,8.373333333,29.7,9.3068
75.7325,65.68,67.56,8.5425,29.73,9.4138
75.78833333,65.88,67.18,8.711666667,29.76,8.8254
75.84416667,66.08,66.81,8.880833333,29.79,9.6277
75.9,66.28,66.43,9.05,29.82,9.3603
76.07083333,65.97,65.72,9.204166667,29.76,9.9487
76.24166667,65.66,65.01,9.358333333,29.71,10.537
76.4125,65.34,64.3,9.5125,29.66,10.8045
76.58333333,65.03,63.59,9.666666667,29.6,10.43
76.75416667,64.72,62.88,9.820833333,29.54,10.537
76.925,64.4,62.18,9.975,29.49,12.0347
77.09583333,64.09,61.47,10.12916667,29.44,12.4626
77.26666667,63.78,60.76,10.28333333,29.38,12.4091
77.4375,63.47,60.05,10.4375,29.32,12.9439
77.60833333,63.16,59.34,10.59166667,29.27,14.0137
77.77916667,62.84,58.63,10.74583333,29.22,13.9602
77.95,62.53,57.92,10.9,29.16,14.4951
77.69833333,62.73,59.21,10.92333333,29.21,12.8905
77.44666667,62.92,60.5,10.94666667,29.25,12.623
77.195,63.12,61.79,10.97,29.3,11.4998
76.94333333,63.32,63.08,10.99333333,29.34,10.43
76.69166667,63.52,64.37,11.01666667,29.39,9.8417
76.44,63.72,65.66,11.04,29.44,9.4138
76.18833333,63.91,66.94,11.06333333,29.48,8.7184
75.93666667,64.11,68.23,11.08666667,29.53,7.8626
75.685,64.31,69.52,11.11,29.57,8.2371
75.43333333,64.51,70.81,11.13333333,29.62,7.7557
75.18166667,64.7,72.1,11.15666667,29.66,7.6487
74.93,64.9,73.39,11.18,29.71,6.8464
74.67083333,65.09,74.01,10.9975,29.67,6.8464
74.41166667,65.29,74.64,10.815,29.64,8.1301
74.1525,65.48,75.26,10.6325,29.6,8.0231
73.89333333,65.67,75.88,10.45,29.57,7.5417
73.63416667,65.87,76.51,10.2675,29.53,7.7022
73.375,66.06,77.13,10.085,29.5,8.2905
73.11583333,66.25,77.75,9.9025,29.46,7.2743
72.85666667,66.45,78.38,9.72,29.42,7.2208
72.5975,66.64,79,9.5375,29.39,7.0068
72.33833333,66.83,79.62,9.355,29.35,7.0068
72.07916667,67.03,80.25,9.1725,29.32,5.9371
71.82,67.22,80.87,8.99,29.28,5.7766
71.68,67.24,81.77,8.814166667,29.3,5.7766
71.54,67.25,82.66,8.638333333,29.32,5.2953
71.4,67.27,83.56,8.4625,29.34,5.1883
71.26,67.28,84.46,8.286666667,29.36,4.9743
71.12,67.3,85.35,8.110833333,29.38,4.5999
70.98,67.32,86.25,7.935,29.4,4.5999
70.84,67.33,87.15,7.759166667,29.41,4.5999
70.7,67.35,88.04,7.583333333,29.43,4.5464
70.56,67.36,88.94,7.4075,29.45,4.4395
70.42,67.38,89.84,7.231666667,29.47,4.5999
70.28,67.39,90.73,7.055833333,29.49,4.386
70.14,67.41,91.63,6.88,29.51,4.5464
69.96666667,67.43,91.98,6.645833333,29.54,4.279
69.79333333,67.46,92.34,6.411666667,29.58,4.2255
69.62,67.48,92.7,6.1775,29.61,4.2255
69.44666667,67.5,93.05,5.943333333,29.64,4.172
69.27333333,67.53,93.4,5.709166667,29.68,4.2255
69.1,67.55,93.76,5.475,29.71,4.065
68.92666667,67.57,94.12,5.240833333,29.74,4.3325
68.75333333,67.6,94.47,5.006666667,29.78,4.065
68.58,67.62,94.82,4.7725,29.81,4.065
68.40666667,67.64,95.18,4.538333333,29.84,4.065
68.23333333,67.67,95.54,4.304166667,29.88,4.0116
68.06,67.69,95.89,4.07,29.91,3.9581
68.43916667,67.61,95.27,4.3175,29.86,3.8511
68.81833333,67.54,94.65,4.565,29.82,4.1185
69.1975,67.46,94.04,4.8125,29.78,3.7976
69.57666667,67.39,93.42,5.06,29.73,3.8511
69.95583333,67.32,92.8,5.3075,29.68,3.7976
70.335,67.24,92.18,5.555,29.64,3.7441
70.71416667,67.17,91.56,5.8025,29.6,3.5837
71.09333333,67.09,90.94,6.05,29.55,3.9581
71.4725,67.02,90.32,6.2975,29.51,4.1185
71.85166667,66.94,89.71,6.545,29.46,4.386
72.23083333,66.87,89.09,6.7925,29.42,4.2255
72.61,66.79,88.47,7.04,29.37,4.9208
72.93,66.88,87.38,6.785,29.41,5.4022
73.25,66.96,86.28,6.53,29.45,7.3278
73.57,67.05,85.19,6.275,29.49,9.4138
73.89,67.14,84.1,6.02,29.53,9.5208
74.21,67.22,83.01,5.765,29.57,10.6975
74.53,67.31,81.91,5.51,29.61,10.537
74.85,67.4,80.82,5.255,29.65,11.1789
75.17,67.48,79.73,5,29.69,11.0719
75.49,67.57,78.64,4.745,29.73,11.3393
75.81,67.66,77.54,4.49,29.77,12.8905
76.13,67.74,76.45,4.235,29.81,13.3718
76.45,67.83,75.36,3.98,29.85,13.7463
76.62666667,67.91,75.27,4.56,29.81,15.2974
76.80333333,67.99,75.17,5.14,29.77,16.5276
76.98,68.08,75.08,5.72,29.74,17.116
77.15666667,68.16,74.98,6.3,29.7,16.4741
77.33333333,68.24,74.89,6.88,29.66,14.6555
77.51,68.32,74.8,7.46,29.62,12.0881
77.68666667,68.4,74.7,8.04,29.58,11.5533
77.86333333,68.48,74.61,8.62,29.54,9.8952
78.04,68.56,74.51,9.2,29.51,8.2371
78.21666667,68.65,74.42,9.78,29.47,8.7719
78.39333333,68.73,74.32,10.36,29.43,9.3068
78.57,68.81,74.23,10.94,29.39,9.7882
78.68916667,68.77,73.87,10.78833333,29.46,9.6812
78.80833333,68.74,73.5,10.63666667,29.53,10.8045
78.9275,68.7,73.14,10.485,29.6,10.1626
79.04666667,68.67,72.78,10.33333333,29.67,12.3021
79.16583333,68.63,72.41,10.18166667,29.74,12.3556
79.285,68.6,72.05,10.03,29.81,12.5695
79.40416667,68.56,71.69,9.878333333,29.88,12.1416
79.52333333,68.52,71.32,9.726666667,29.95,11.8207
79.6425,68.49,70.96,9.575,30.02,12.4091
79.76166667,68.45,70.6,9.423333333,30.09,12.0881
79.88083333,68.42,70.23,9.271666667,30.16,13.4253
80,68.38,69.87,9.12,30.23,12.9439
79.58416667,68.37,70.34,9.276666667,30.2,13.2114
79.16833333,68.35,70.81,9.433333333,30.16,12.4626
78.7525,68.34,71.27,9.59,30.13,11.9277
78.33666667,68.32,71.74,9.746666667,30.1,10.8045
77.92083333,68.31,72.21,9.903333333,30.07,9.6812
77.505,68.29,72.68,10.06,30.04,8.8789
77.08916667,68.28,73.14,10.21666667,30,8.0231
76.67333333,68.27,73.61,10.37333333,29.97,7.9161
76.2575,68.25,74.08,10.53,29.94,7.2743
75.84166667,68.24,74.54,10.68666667,29.9,7.1673
75.42583333,68.22,75.01,10.84333333,29.87,7.1673
75.01,68.21,75.48,11,29.84,6.8999
75.07583333,68.25,76.32,10.41,29.88,7.1138
75.14166667,68.28,77.15,9.82,29.92,6.365
75.2075,68.32,77.98,9.23,29.96,6.2045
75.27333333,68.36,78.82,8.64,30,6.472
75.33916667,68.39,79.66,8.05,30.04,7.3813
75.405,68.43,80.49,7.46,30.08,7.8626
75.47083333,68.47,81.32,6.87,30.12,7.2743
75.53666667,68.5,82.16,6.28,30.16,6.151
75.6025,68.54,83,5.69,30.2,6.0976
75.66833333,68.58,83.83,5.1,30.24,6.472
75.73416667,68.61,84.66,4.51,30.28,6.4185
75.8,68.65,85.5,3.92,30.32,6.3115
75.58583333,68.78,85.49,3.9225,30.25,6.5255
75.37166667,68.91,85.49,3.925,30.19,5.7766
75.1575,69.04,85.48,3.9275,30.12,5.6697
74.94333333,69.16,85.47,3.93,30.05,5.0278
74.72916667,69.29,85.47,3.9325,29.99,4.4929
74.515,69.42,85.46,3.935,29.92,4.6534
74.30083333,69.55,85.45,3.9375,29.85,4.6534
74.08666667,69.68,85.45,3.94,29.79,4.5999
73.8725,69.81,85.44,3.9425,29.72,4.4929
73.65833333,69.93,85.43,3.945,29.65,4.279
73.44416667,70.06,85.43,3.9475,29.59,4.386
73.23,70.19,85.42,3.95,29.52,4.1185
73.24166667,70.22,85.55,3.955833333,29.48,4.1185
73.25333333,70.26,85.68,3.961666667,29.45,4.3325
73.265,70.29,85.82,3.9675,29.42,4.172
73.27666667,70.32,85.95,3.973333333,29.38,4.1185
73.28833333,70.35,86.08,3.979166667,29.34,3.9581
73.3,70.38,86.22,3.985,29.31,4.1185
73.31166667,70.42,86.35,3.990833333,29.28,4.0116
73.32333333,70.45,86.48,3.996666667,29.24,4.0116
73.335,70.48,86.61,4.0025,29.2,4.065
73.34666667,70.52,86.74,4.008333333,29.17,4.0116
73.35833333,70.55,86.88,4.014166667,29.14,4.0116
73.37,70.58,87.01,4.02,29.1,4.0116
73.49083333,70.47,86.84,3.851666667,29.16,3.9581
73.61166667,70.36,86.66,3.683333333,29.21,4.0116
73.7325,70.25,86.49,3.515,29.27,4.0116
73.85333333,70.14,86.32,3.346666667,29.33,3.9581
73.97416667,70.03,86.15,3.178333333,29.38,3.6371
74.095,69.91,85.98,3.01,29.44,3.4232
74.21583333,69.8,85.8,2.841666667,29.5,4.279
74.33666667,69.69,85.63,2.673333333,29.55,4.5464
74.4575,69.58,85.46,2.505,29.61,4.2255
74.57833333,69.47,85.28,2.336666667,29.67,4.7069
74.69916667,69.36,85.11,2.168333333,29.72,4.3325
74.82,69.25,84.94,2,29.78,4.386
75.43833333,69.33,83.39,2.581666667,29.76,6.151
76.05666667,69.4,81.84,3.163333333,29.73,8.0766
76.675,69.48,80.28,3.745,29.7,9.3068
77.29333333,69.56,78.73,4.326666667,29.68,9.3603
77.91166667,69.64,77.18,4.908333333,29.66,9.2533
78.53,69.72,75.63,5.49,29.63,10.43
79.14833333,69.79,74.08,6.071666667,29.6,11.1789
79.76666667,69.87,72.53,6.653333333,29.58,12.1951
80.385,69.95,70.97,7.235,29.56,13.4253
81.00333333,70.03,69.42,7.816666667,29.53,13.4253
81.62166667,70.1,67.87,8.398333333,29.5,13.6393
82.24,70.18,66.32,8.98,29.48,11.9812
81.95083333,70.14,67.01,8.973333333,29.5,14.5486
81.66166667,70.09,67.71,8.966666667,29.52,15.2439
81.3725,70.04,68.4,8.96,29.53,15.8323
81.08333333,70,69.1,8.953333333,29.55,16.5276
80.79416667,69.96,69.79,8.946666667,29.57,15.6183
80.505,69.91,70.49,8.94,29.58,14.0137
80.21583333,69.87,71.18,8.933333333,29.6,11.1254
79.92666667,69.82,71.88,8.926666667,29.62,9.9487
79.6375,69.78,72.57,8.92,29.64,9.8952
79.34833333,69.73,73.27,8.913333333,29.66,9.8417
79.05916667,69.68,73.96,8.906666667,29.67,9.9487
78.77,69.64,74.66,8.9,29.69,10.1626
78.8875,69.65,74.33,8.495833333,29.68,11.4998
79.005,69.67,73.99,8.091666667,29.66,10.8045
79.1225,69.68,73.66,7.6875,29.65,11.5533
79.24,69.69,73.33,7.283333333,29.63,11.6603
79.3575,69.71,72.99,6.879166667,29.62,11.1254
79.475,69.72,72.66,6.475,29.6,11.4463
79.5925,69.73,72.33,6.070833333,29.59,11.4998
79.71,69.75,71.99,5.666666667,29.58,12.3021
79.8275,69.76,71.66,5.2625,29.56,11.8207
79.945,69.77,71.33,4.858333333,29.55,11.9812
80.0625,69.79,70.99,4.454166667,29.53,12.5695
80.18,69.8,70.66,4.05,29.52,11.1254
79.84083333,69.86,71.52,4.4675,29.52,12.6765
79.50166667,69.93,72.38,4.885,29.52,12.73
79.1625,69.99,73.25,5.3025,29.53,10.537
78.82333333,70.06,74.11,5.72,29.53,10.3231
78.48416667,70.12,74.97,6.1375,29.53,10.2696
78.145,70.18,75.84,6.555,29.54,8.9324
77.80583333,70.25,76.7,6.9725,29.54,8.344
77.46666667,70.31,77.56,7.39,29.54,7.4347
77.1275,70.38,78.42,7.8075,29.54,6.6859
76.78833333,70.44,79.28,8.225,29.54,6.8464
76.44916667,70.51,80.15,8.6425,29.55,7.5417
76.11,70.57,81.01,9.06,29.55,7.1138
76.255,70.53,81.18,9.2075,29.54,7.5952
76.4,70.49,81.35,9.355,29.52,8.344
76.545,70.45,81.52,9.5025,29.51,8.6115
76.69,70.41,81.68,9.65,29.5,8.7184
76.835,70.37,81.85,9.7975,29.48,9.2533
76.98,70.33,82.02,9.945,29.47,8.2371
77.125,70.3,82.19,10.0925,29.46,7.4347
77.27,70.26,82.36,10.24,29.44,7.0603
77.415,70.22,82.52,10.3875,29.43,6.3115
77.56,70.18,82.69,10.535,29.42,6.4185
77.705,70.14,82.86,10.6825,29.4,5.8301
77.85,70.1,83.03,10.83,29.39,5.2418
77.75083333,70.28,83.35,10.845,29.44,5.5627
77.65166667,70.46,83.67,10.86,29.49,5.4557
77.5525,70.64,84,10.875,29.54,5.0278
77.45333333,70.82,84.32,10.89,29.59,5.0278
77.35416667,71,84.64,10.905,29.64,5.3487
77.255,71.18,84.96,10.92,29.68,5.1883
77.15583333,71.35,85.28,10.935,29.73,4.9208
77.05666667,71.53,85.6,10.95,29.78,5.0813
76.9575,71.71,85.92,10.965,29.83,4.9208
76.85833333,71.89,86.25,10.98,29.88,4.4929
76.75916667,72.07,86.57,10.995,29.93,4.2255
76.66,72.25,86.89,11.01,29.98,4.2255
76.6125,72.15,86.88,11.0175,29.93,4.2255
76.565,72.05,86.88,11.025,29.87,4.2255
76.5175,71.95,86.87,11.0325,29.82,4.065
76.47,71.85,86.87,11.04,29.76,4.172
76.4225,71.75,86.86,11.0475,29.71,4.172
76.375,71.65,86.85,11.055,29.66,3.9581
76.3275,71.55,86.85,11.0625,29.6,4.2255
76.28,71.45,86.84,11.07,29.55,4.3325
76.2325,71.35,86.84,11.0775,29.49,4.3325
76.185,71.25,86.83,11.085,29.44,4.1185
76.1375,71.15,86.83,11.0925,29.38,4.0116
76.09,71.05,86.82,11.1,29.33,4.065
76.2675,70.98,86.27,10.93583333,29.37,4.065
76.445,70.9,85.72,10.77166667,29.41,3.9581
76.6225,70.83,85.17,10.6075,29.46,4.0116
76.8,70.75,84.62,10.44333333,29.5,3.6906
76.9775,70.68,84.07,10.27916667,29.54,3.5837
77.155,70.6,83.51,10.115,29.58,3.4767
77.3325,70.53,82.96,9.950833333,29.62,3.7441
77.51,70.46,82.41,9.786666667,29.66,3.6906
77.6875,70.38,81.86,9.6225,29.7,4.172
77.865,70.31,81.31,9.458333333,29.75,4.279
78.0425,70.23,80.76,9.294166667,29.79,4.5464
78.22,70.16,80.21,9.13,29.83,4.5464
78.57083333,70.27,78.92,9.293333333,29.81,6.8999
78.92166667,70.38,77.63,9.456666667,29.78,8.5045
79.2725,70.49,76.34,9.62,29.76,9.4138
79.62333333,70.6,75.05,9.783333333,29.74,9.7882
79.97416667,70.71,73.76,9.946666667,29.71,11.3928
80.325,70.82,72.47,10.11,29.69,11.0719
80.67583333,70.93,71.19,10.27333333,29.67,10.2161
81.02666667,71.04,69.9,10.43666667,29.64,10.1626
81.3775,71.15,68.61,10.6,29.62,11.7672
81.72833333,71.26,67.32,10.76333333,29.6,12.73
82.07916667,71.37,66.03,10.92666667,29.57,11.6603
82.43,71.48,64.74,11.09,29.55,12.7835
82.49333333,71.16,64.36,11.51416667,29.59,14.6555
82.55666667,70.84,63.97,11.93833333,29.63,16.902
82.62,70.52,63.59,12.3625,29.67,17.5974
82.68333333,70.2,63.21,12.78666667,29.71,18.7206
82.74666667,69.88,62.83,13.21083333,29.75,16.5276
82.81,69.56,62.44,13.635,29.78,13.1579
82.87333333,69.24,62.06,14.05916667,29.82,10.9114
82.93666667,68.92,61.68,14.48333333,29.86,10.644
83,68.6,61.3,14.9075,29.9,9.6277
83.06333333,68.28,60.92,15.33166667,29.94,10.1091
83.12666667,67.96,60.53,15.75583333,29.98,11.1254
83.19,67.64,60.15,16.18,30.02,11.1789
83.04,67.88,61.17,15.92916667,30,11.1789
82.89,68.11,62.19,15.67833333,29.98,11.4998
82.74,68.35,63.21,15.4275,29.96,11.7137
82.59,68.59,64.23,15.17666667,29.93,12.5695
82.44,68.83,65.25,14.92583333,29.91,12.4626
82.29,69.06,66.27,14.675,29.89,12.9439
82.14,69.3,67.29,14.42416667,29.87,12.5695
81.99,69.54,68.31,14.17333333,29.85,11.9812
81.84,69.78,69.33,13.9225,29.83,14.3881
81.69,70.02,70.35,13.67166667,29.8,13.3184
81.54,70.25,71.37,13.42083333,29.78,14.1742
81.39,70.49,72.39,13.17,29.76,13.9067
81.07166667,70.65,73.47,12.9775,29.73,13.3718
80.75333333,70.82,74.54,12.785,29.71,12.837
80.435,70.98,75.62,12.5925,29.68,11.2324
80.11666667,71.14,76.69,12.4,29.65,10.2161
79.79833333,71.31,77.77,12.2075,29.63,10.8045
79.48,71.47,78.84,12.015,29.6,10.43
79.16166667,71.63,79.92,11.8225,29.57,9.9487
78.84333333,71.8,81,11.63,29.55,9.0929
78.525,71.96,82.07,11.4375,29.52,8.9859
78.20666667,72.12,83.15,11.245,29.49,9.3068
77.88833333,72.29,84.22,11.0525,29.47,9.7882
77.57,72.45,85.3,10.86,29.44,9.4673
77.41083333,72.49,85.25,10.70166667,29.42,9.0929
77.25166667,72.53,85.19,10.54333333,29.4,8.7719
77.0925,72.57,85.14,10.385,29.38,8.7719
76.93333333,72.61,85.08,10.22666667,29.36,8.665
76.77416667,72.65,85.03,10.06833333,29.34,8.2905
76.615,72.68,84.98,9.91,29.33,8.1836
76.45583333,72.72,84.92,9.751666667,29.31,8.8254
76.29666667,72.76,84.87,9.593333333,29.29,7.4347
76.1375,72.8,84.81,9.435,29.27,6.258
75.97833333,72.84,84.76,9.276666667,29.25,6.258
75.81916667,72.88,84.7,9.118333333,29.23,5.9906
75.66,72.92,84.65,8.96,29.21,5.9371
75.73916667,72.77,84.99,8.808333333,29.24,5.7766
75.81833333,72.62,85.33,8.656666667,29.28,5.2418
75.8975,72.47,85.66,8.505,29.31,5.8301
75.97666667,72.32,86,8.353333333,29.34,6.0441
